Genre,Ranks,Product,Author,Links,Price,Rating,Reviews
All,23,"Combo Pack: Lakhmir Singh Class 10 Science (Biology, Physics, Chemistry) - Examination 2022-23",Manjit Kaur; Lakhmir Singh,https://amazon.in/Combo-Pack-Lakhmir-Chemistry-Examination/dp/B09PKHZZMB/ref=zg_bs_books_23/259-4875650-4938338?pd_rd_i=B09PKHZZMB&psc=1,"1,309.00",4.4,NA
All,24,Mathematics for Class 9 - CBSE - by R.D. Sharma Examination 2022-23,R.D. Sharma,https://amazon.in/Mathematics-Class-Sharma-Examination-2022-23/dp/B09SJ5TZZ4/ref=zg_bs_books_24/259-4875650-4938338?pd_rd_i=B09SJ5TZZ4&psc=1,490.00,4.5,30
All,25,Picture Books Collection for Early Learning (Set of 12),E C Axus,https://amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P/ref=zg_bs_books_25/259-4875650-4938338?pd_rd_i=B01M0QGF0P&psc=1,250.00,4.3,NA
All,26,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,https://amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=zg_bs_books_26/259-4875650-4938338?pd_rd_i=9351772071&psc=1,147.00,4.5,"17,285"
All,27,The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,https://amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_books_27/259-4875650-4938338?pd_rd_i=9354893899&psc=1,210.00,4.7,"4,803"
All,28,Spoken English Course (Telugu),Vashista 360,https://amazon.in/Spoken-English-Course-Telugu-Vashista/dp/B08W1SNNLP/ref=zg_bs_books_28/259-4875650-4938338?pd_rd_i=B08W1SNNLP&psc=1,284.00,4.2,Vashista 360
All,29,"Oswaal CBSE Question Bank Chapterwise For Term 2, Class 10, Science (For 2022 Exam)",Oswaal Editorial Board,https://amazon.in/Oswaal-Question-Chapterwise-Class-Science/dp/9354636586/ref=zg_bs_books_29/259-4875650-4938338?pd_rd_i=9354636586&psc=1,193.00,4.4,286
All,30,Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,https://amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=zg_bs_books_30/259-4875650-4938338?pd_rd_i=9391924298&psc=1,94.00,4.5,NA
All,31,Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,https://amazon.in/Best-Childrens-Classics-Set-Books/dp/9389432006/ref=zg_bs_books_31/259-4875650-4938338?pd_rd_i=9389432006&psc=1,487.00,4.4,NA
All,32,CBSE All In One Science Class 10 for 2022-23 Edition,Sonal Singh,https://amazon.in/CBSE-All-Science-Class-2022-23/dp/932619325X/ref=zg_bs_books_32/259-4875650-4938338?pd_rd_i=932619325X&psc=1,575.00,4.8,NA
All,33,The Alchemist,Paulo Coelho,https://amazon.in/Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_books_33/259-4875650-4938338?pd_rd_i=8172234988&psc=1,250.00,4.6,"73,697"
All,34,CBSE All In One English Language & Literature Class 10 2022-23 Edition,Srishti Agarwal,https://amazon.in/English-Language-Literature-Class-2022-23/dp/B09RMZT7B8/ref=zg_bs_books_34/259-4875650-4938338?pd_rd_i=B09RMZT7B8&psc=1,467.00,4.4,NA
All,35,Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,https://amazon.in/Moral-Story-Books-Illustrated-Stories/dp/9381569886/ref=zg_bs_books_35/259-4875650-4938338?pd_rd_i=9381569886&psc=1,240.00,4.3,NA
